"[row, column]",A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,A_11,A_12
A_1,0,A_4,A_5,A_7,A_8,A_9,-pi^2*A_4,-pi^2*A_5,-pi^2*A_6 + 2*A_12,-pi^2/2*A_6 + A_12,-pi^2/2*A_5,0
A_2,-A_4,0,A_6,pi^2/2*A_1 - pi^2/2*A_2 - A_7,A_10,A_11,pi^2/2*A_4,-pi^2/2*A_6,-pi^2/4*A_5 + pi^2/4*A_6 - A_12,-pi^2/2*A_5 + pi^2/2*A_6 - 2*A_12,-pi^2*A_6,pi^2/4*A_10 + pi^2/4*A_11
A_3,-A_5,-A_6,0,-A_9 + A_10,pi^2/2*A_1 - pi^2/2*A_3 - A_8,pi^2/2*A_2 - pi^2/2*A_3 - A_11,pi^2/2*A_6,pi^2/2*A_5,pi^2/4*A_4 + pi^2/4*A_6 - A_12,-pi^2/4*A_4 - pi^2/4*A_6 + A_12,pi^2/2*A_6,pi^4/8*A_2 - pi^4/8*A_3 + pi^2/4*A_9 - pi^2/4*A_10 - pi^2/4*A_11
A_4,-A_7,-pi^2/2*A_1 + pi^2/2*A_2 + A_7,A_9 - A_10,0,A_12,-pi^2/4*A_5 - pi^2/4*A_6 + A_12,pi^4/2*A_1 - pi^4/2*A_2 - pi^2/2*A_7,-pi^2/2*A_9 + pi^2*A_10,-pi^2/4*A_8 + pi^2/4*A_9 - pi^2/2*A_10 + pi^2/2*A_11,-pi^2/2*A_8 + pi^2/2*A_9 - pi^2/4*A_10 + pi^2/4*A_11,-pi^2*A_9 + pi^2/2*A_10,-pi^4/8*A_5 - pi^4/8*A_6 + pi^2/4*A_12
A_5,-A_8,-A_10,-pi^2/2*A_1 + pi^2/2*A_3 + A_8,-A_12,0,pi^2/4*A_4 - pi^2/4*A_6 + A_12,-pi^2/2*A_9 + pi^2*A_10,pi^4/2*A_1 - pi^4/2*A_3 - pi^2/2*A_8,pi^4/4*A_2 - pi^4/4*A_3 + pi^2/4*A_7 - pi^2/4*A_9 + pi^2/2*A_10 - pi^2/2*A_11,pi^4/8*A_2 - pi^4/8*A_3 - pi^2/4*A_7 - pi^2/2*A_9 + pi^2/4*A_10 - pi^2/4*A_11,pi^4/4*A_1 - pi^4/4*A_3 - pi^2/2*A_8 + pi^2/2*A_9,pi^4/8*A_4 - pi^4/8*A_6 + pi^2/4*A_12
A_6,-A_9,-A_11,-pi^2/2*A_2 + pi^2/2*A_3 + A_11,pi^2/4*A_5 + pi^2/4*A_6 - A_12,-pi^2/4*A_4 + pi^2/4*A_6 - A_12,0,pi^2/2*A_9 - pi^2/2*A_10 + pi^2/2*A_11,pi^4/4*A_2 - pi^4/4*A_3 + pi^2/2*A_10 - pi^2/2*A_11,pi^4/4*A_1 - pi^4/8*A_2 - pi^4/8*A_3 - pi^2/4*A_7 - pi^2/4*A_8 + pi^2/4*A_9 - pi^2/2*A_10,pi^4/8*A_1 + pi^4/8*A_2 - pi^4/4*A_3 + pi^2/4*A_7 - pi^2/2*A_8 + pi^2/2*A_9 - pi^2/4*A_10,pi^4/2*A_2 - pi^4/2*A_3 - pi^2/2*A_11,pi^4/16*A_4 + pi^4/16*A_5
A_7,pi^2*A_4,-pi^2/2*A_4,-pi^2/2*A_6,-pi^4/2*A_1 + pi^4/2*A_2 + pi^2/2*A_7,pi^2/2*A_9 - pi^2*A_10,-pi^2/2*A_9 + pi^2/2*A_10 - pi^2/2*A_11,0,pi^2*A_12,pi^2/2*A_12,3*pi^4/8*A_5 - 3*pi^4/8*A_6 + pi^2*A_12,3*pi^4/4*A_6 - pi^2*A_12,-pi^4/8*A_8 - pi^4/8*A_9
A_8,pi^2*A_5,pi^2/2*A_6,-pi^2/2*A_5,pi^2/2*A_9 - pi^2*A_10,-pi^4/2*A_1 + pi^4/2*A_3 + pi^2/2*A_8,-pi^4/4*A_2 + pi^4/4*A_3 - pi^2/2*A_10 + pi^2/2*A_11,-pi^2*A_12,0,pi^2/2*A_12,3*pi^4/8*A_4 + 3*pi^4/8*A_6 - pi^2/2*A_12,pi^4/4*A_5 - pi^4/2*A_6 + pi^2*A_12,pi^4/8*A_7 - pi^4/8*A_9
A_9,pi^2*A_6 - 2*A_12,pi^2/4*A_5 - pi^2/4*A_6 + A_12,-pi^2/4*A_4 - pi^2/4*A_6 + A_12,pi^2/4*A_8 - pi^2/4*A_9 + pi^2/2*A_10 - pi^2/2*A_11,-pi^4/4*A_2 + pi^4/4*A_3 - pi^2/4*A_7 + pi^2/4*A_9 - pi^2/2*A_10 + pi^2/2*A_11,-pi^4/4*A_1 + pi^4/8*A_2 + pi^4/8*A_3 + pi^2/4*A_7 + pi^2/4*A_8 - pi^2/4*A_9 + pi^2/2*A_10,-pi^2/2*A_12,-pi^2/2*A_12,0,-3*pi^4/16*A_4 + 3*pi^4/16*A_5 - 3*pi^4/8*A_6 + 3*pi^2/4*A_12,3*pi^4/8*A_4 - pi^4/4*A_5 + pi^4/8*A_6 - pi^2/2*A_12,pi^4/16*A_7 + pi^4/16*A_8
A_10,pi^2/2*A_6 - A_12,pi^2/2*A_5 - pi^2/2*A_6 + 2*A_12,pi^2/4*A_4 + pi^2/4*A_6 - A_12,pi^2/2*A_8 - pi^2/2*A_9 + pi^2/4*A_10 - pi^2/4*A_11,-pi^4/8*A_2 + pi^4/8*A_3 + pi^2/4*A_7 + pi^2/2*A_9 - pi^2/4*A_10 + pi^2/4*A_11,-pi^4/8*A_1 - pi^4/8*A_2 + pi^4/4*A_3 - pi^2/4*A_7 + pi^2/2*A_8 - pi^2/2*A_9 + pi^2/4*A_10,-3*pi^4/8*A_5 + 3*pi^4/8*A_6 - pi^2*A_12,-3*pi^4/8*A_4 - 3*pi^4/8*A_6 + pi^2/2*A_12,3*pi^4/16*A_4 - 3*pi^4/16*A_5 + 3*pi^4/8*A_6 - 3*pi^2/4*A_12,0,-pi^4/8*A_5 - pi^4/8*A_6 + pi^2/2*A_12,-3*pi^6/32*A_2 + 3*pi^6/32*A_3 - pi^4/16*A_7 + pi^4/8*A_8
